Wanda|Gilbert|Wanda|Gilbert|0
Wanda|Gilbert|Wanda|Richards|5
Ruby|Oliver|Ruby|Oliver|0
Terry|Price|Terry|Price|0
Terry|Price|Terry|Flores|0
Pamela|Rice|Pamela|Rice|0
Pamela|Rice|Pamela|Fields|18
Scott|Marshall|Scott|Marshall|0
Scott|Marshall|Scott|Hunter|-5
Scott|Marshall|Scott|Armstrong|4
Janice|Foster|Janice|Foster|0
Janice|Foster|Janice|Hunter|-8
Bonnie|Wallace|Bonnie|Wallace|0
Bonnie|Wallace|Bonnie|Harper|-5
Lisa|James|Lisa|James|0
Phillip|Arnold|Phillip|Arnold|0
Robert|Sanchez|Robert|Sanchez|0
Robert|Sanchez|Robert|Morgan|-7
Ruth|Burton|Ruth|Burton|0
Ruth|Burton|Ruth|Nichols|-13
Rose|Mccoy|Rose|Mccoy|0
Terry|Flores|Terry|Price|0
Terry|Flores|Terry|Flores|0
Deborah|Brooks|Deborah|Brooks|0
Christina|Reed|Christina|Reed|0
Christina|Reed|Christina|Dunn|-10
Christina|Reed|Christina|King|-18
Louise|Scott|Louise|Scott|0
Louise|Scott|Louise|Hicks|3
Louise|Scott|Louise|Hansen|2
Louise|Scott|Louise|Moreno|2
Jose|Reid|Jose|Reid|0
Jose|Reid|Jose|Jenkins|-3
Teresa|Hernandez|Teresa|Hernandez|0
Alan|Graham|Alan|Graham|0
Alan|Graham|Alan|Lee|-12
Alan|Graham|Alan|Young|5
Jennifer|Austin|Jennifer|Austin|0
Roy|Lynch|Roy|Lynch|0
Martha|Porter|Martha|Porter|0
Martha|Porter|Martha|Cole|-4
Carlos|Duncan|Carlos|Duncan|0
Carlos|Duncan|Carlos|Bell|20
Diana|Phillips|Diana|Phillips|0
Diana|Phillips|Diana|Boyd|2
Sharon|Cunningham|Sharon|Cunningham|0
Sharon|Cunningham|Sharon|Russell|-8
Samuel|Ward|Samuel|Ward|0
Mildred|Gray|Mildred|Gray|0
Michael|Howell|Michael|Howell|0
Paula|Perkins|Paula|Perkins|0
Jonathan|Hawkins|Jonathan|Hawkins|0
Sean|Carter|Sean|Carter|0
Sean|Carter|Sean|Daniels|-14
Barbara|Lane|Barbara|Lane|0
Ruth|Nichols|Ruth|Burton|13
Ruth|Nichols|Ruth|Nichols|0
Billy|Spencer|Billy|Spencer|0
Billy|Spencer|Billy|Collins|5
Ernest|Gray|Ernest|Gray|0
Donna|Lawrence|Donna|Lawrence|0
Donna|Lawrence|Donna|Moore|-5
Chris|Palmer|Chris|Palmer|0
Peter|Mason|Peter|Mason|0
Aaron|Richards|Aaron|Richards|0
Harry|Harrison|Harry|Harrison|0
Harry|Harrison|Harry|Howard|5
Carolyn|Hicks|Carolyn|Hicks|0
Carolyn|Hicks|Carolyn|Stewart|4
Carl|Bishop|Carl|Bishop|0
Laura|Carr|Laura|Carr|0
Denise|Graham|Denise|Graham|0
Wanda|Richards|Wanda|Gilbert|-5
Wanda|Richards|Wanda|Richards|0
Craig|Lewis|Craig|Lewis|0
Arthur|Perkins|Arthur|Perkins|0
Arthur|Perkins|Arthur|Willis|-18
Arthur|Perkins|Arthur|Walker|1
Arthur|Perkins|Arthur|Coleman|-5
Matthew|Mcdonald|Matthew|Mcdonald|0
Edward|Franklin|Edward|Franklin|0
Edward|Franklin|Edward|Mason|-9
Pamela|Fields|Pamela|Rice|-18
Pamela|Fields|Pamela|Fields|0
Steven|Burton|Steven|Burton|0
Kenneth|Fernandez|Kenneth|Fernandez|0
Kenneth|Fernandez|Kenneth|Ramirez|-3
Dorothy|Miller|Dorothy|Miller|0
Roger|Evans|Roger|Evans|0
Roger|Evans|Roger|Lynch|-1
Justin|Ray|Justin|Ray|0
Brandon|Ryan|Brandon|Ryan|0
Robert|Morgan|Robert|Sanchez|7
Robert|Morgan|Robert|Morgan|0
Jean|Bradley|Jean|Bradley|0
Patricia|Greene|Patricia|Greene|0
Victor|Myers|Victor|Myers|0
Diane|Palmer|Diane|Palmer|0
Diane|Palmer|Diane|Robertson|8
